EASOC,EA043,EA001,EA002,EAHG,EA_ord_val
Soninke,Patrilineal,10.5,2.5,13,1
Susu,Patrilineal,2.5,10.5,13,1
Diula,Patrilineal,10.5,10.5,21,1
Samo,Patrilineal,10.5,10.5,21,1
Dogon,Patrilineal,20.5,2.5,23,1
Bobo,Patrilineal,2.5,10.5,13,1
Minianka,Patrilineal,10.5,10.5,21,1
Senufo,Patrilineal,20.5,2.5,23,1
Tsonga,Patrilineal,2.5,10.5,13,1
Dorosie,Matrilineal,10.5,2.5,13,1
Kulango,Matrilineal,10.5,10.5,21,1
Lowiili,Bilateral,10.5,2.5,13,1
